symbol,effective_date,split_ratio,current_float_m,status
CDIO,2025-05-13,13,1.53,Complete
BGMS,2025-05-12,16,3.79,Complete
ALZN,2025-05-12,9,3.62,Complete
STI,2025-05-12,50,2.26,Complete
XHG,2025-05-09,20,1.57,Complete
HIND,2025-05-09,25,4.60,Complete
GDHG,2025-05-09,25,2.53,Complete
DGLY,2025-05-07,20,1.90,Complete
YCBD,2025-05-07,8,8.90,Complete
SBET,2025-05-06,12,196.66,Complete
PTIX,2025-05-05,14,1.86,Complete
NIVF,2025-05-05,10,6.58,Complete
WAI,2025-05-05,25,2.69,Complete
SLGL,2025-05-05,10,0.97,Complete
PBM,2025-05-05,7.97,1.86,Complete
CWD,2025-05-02,20,5.38,Complete
HSDT,2025-05-02,15,73.74,Complete
LITM,2025-05-02,13,18.03,Complete
IQST,2025-05-02,80,4.21,Complete
PTPI,2025-05-01,25,42.32,Complete
FOXO,2025-04-29,10,526.45,Complete
JBIO,2025-04-29,35,14.12,Complete
NAAS,2025-04-28,4,0.99,Complete
STKH,2025-04-28,5,0.84,Complete
XFOR,2025-04-28,30,87.38,Complete
STSS,2025-04-28,300,5.56,Complete
DFSC,2025-04-24,21,1.42,Complete
BSLK,2025-04-22,20,4.22,Complete
FMTO,2025-04-22,500,0.60,Complete
MCRB,2025-04-22,20,7.88,Complete
DDC,2025-04-21,25,7.70,Complete
HOLO,2025-04-21,40,14.57,Complete
YHC,2025-04-21,35,13.42,Complete
BMRA,2025-04-21,8,2.72,Complete
SUNE,2025-04-21,200,3.41,Complete
KZIA,2025-04-17,5,1.83,Complete
TVRD,2025-04-16,3,3.91,Complete
CPHI,2025-04-15,10,4.70,Complete
STBX,2025-04-15,15,0.59,Complete
SCLX,2025-04-15,35,7.00,Complete
FRGE,2025-04-15,15,9.59,Complete
CMCT,2025-04-15,25,2.51,Complete
PIII,2025-04-14,50,1.32,Complete
WIMI,2025-04-14,20,10.85,Complete
MAAS,2025-04-14,60,1.14,Complete
HCWB,2025-04-11,40,3.72,Complete
BINI,2025-04-11,100,12.48,Complete
AMRN,2025-04-11,20,21.59,Complete
WBUY,2025-04-10,120,1.72,Complete
TPST,2025-04-09,13,5.61,Complete
QNRX,2025-04-09,35,0.59,Complete
VEEE,2025-04-08,10,1.98,Complete
LGCB,2025-04-07,10,9.38,Complete
NEGG,2025-04-07,20,0.96,Complete
SPPL,2025-04-07,8,2.20,Complete
TGL,2025-04-07,50,16.57,Complete
BGLC,2025-04-07,10,1.27,Complete
FTFT,2025-04-04,10,4.72,Complete
AEHL,2025-04-04,40,2.58,Complete
SOBR,2025-04-04,10,1.52,Complete
CISS,2025-04-04,6,2.65,Complete
MKTW,2025-04-03,20,2.25,Complete
VCIG,2025-04-03,20,8.83,Complete
WNW,2025-04-01,20,2.64,Complete
ICON,2025-04-01,40,2.23,Complete
AREB,2025-03-31,25,6.12,Complete
WTO,2025-03-31,10,1.94,Complete
AUUD,2025-03-31,17,3.09,Complete
NXU,2025-03-31,20,2.32,Complete
VMAR,2025-03-31,10,4.65,Complete
HUBC,2025-03-31,10,22.36,Complete
ACON,2025-03-28,27,0.67,Complete
SBEV,2025-03-28,40,2.49,Complete
WHLR,2025-03-26,5,0.69,Complete
LGHL,2025-03-26,50,0.50,Complete
XELB,2025-03-25,10,3.36,Complete
JAGX,2025-03-24,25,3.73,Complete
ZCAR,2025-03-24,20,6.68,Complete
SHFS,2025-03-24,20,1.78,Complete
UPC,2025-03-24,40,0.56,Complete
VRPX,2025-03-21,25,1.77,Complete
VIVS,2025-03-21,12,2.58,Complete
OM,2025-03-20,15,17.99,Complete
IVF,2025-03-18,12,1.89,Complete
HEPA,2025-03-18,50,11.62,Complete
WKSP,2025-03-18,10,7.93,Complete
ULY,2025-03-18,12,2.12,Complete
NWTG,2025-03-17,30,4.15,Complete
SAIH,2025-03-17,15,1.02,Complete
WKHS,2025-03-17,12.5,23.93,Complete
ADTX,2025-03-17,250,0.56,Complete
FAMI,2025-03-17,12,1.30,Complete
BHAT,2025-03-17,100,4.89,Complete
WLDS,2025-03-17,4,7.12,Complete
BNBX,2025-03-14,50,1.29,Complete
NAOV,2025-03-14,11,1.09,Complete
KUKE,2025-03-13,10,26.78,Complete
IPDN,2025-03-13,10,3.10,Complete
BLNE,2025-02-12,10,25.70,Complete
ABTS,2025-03-10,15,2.25,Complete
OMH,2025-03-10,10,21.92,Complete
ELAB,2025-03-10,7,0.74,Complete
MNDR,2025-03-10,8,1.16,Complete
RETO,2025-03-07,10,1.24,Complete
TIVC,2025-03-07,17,1.74,Complete
